code,stage,axis,text
EF09CO05,9º ano,Mundo Digital,Analisar técnicas de criptografia para armazenamento e transmissão de dados.
EF09CO06,9º ano,Cultura Digital,"Analisar problemas sociais de sua cidade e estado a partir de ambientes digitais, propondo soluções."
EF09CO07,9º ano,Cultura Digital,"Avaliar aplicações e implicações políticas, socioambientais e culturais das tecnologias digitais para propor alternativas aos desafios do mundo contemporâneo, incluindo aqueles relativos ao mundo do trabalho."
EF09CO08,9º ano,Cultura Digital,"Discutir como a distribuição desigual de recursos de computação em uma economia global levanta questões de equidade, acesso e poder."
EF09CO09,9º ano,Cultura Digital,"Criar ou utilizar conteúdo em meio digital, compreendendo questões éticas relacionadas a direitos autorais e de uso de imagem."
EF09CO10,9º ano,Cultura Digital,"Avaliar a veracidade, credibilidade e relevância da informação em seus diferentes formatos, sendo capaz de identificar o propósito pelo qual foi disseminada."
EF69CO01,6º ao 9º ano,Pensamento Computacional,"Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um ‘tipo de dado’."
EF69CO02,6º ao 9º ano,Pensamento Computacional,"Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação."
EF69CO03,6º ao 9º ano,Pensamento Computacional,"Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita."
EF69CO04,6º ao 9º ano,Pensamento Computacional,Construir soluções de problemas usando a técnica de decomposição e automatizar tais soluções usando uma linguagem de programação.
EF69CO05,6º ao 9º ano,Pensamento Computacional,"Identificar os recursos ou insumos necessários (entradas) para a resolução de problemas, bem como os resultados esperados (saídas), determinando os respectivos tipos de dados, e estabelecendo a definição de problema como uma relação entre entrada e saída."
EF69CO06,6º ao 9º ano,Pensamento Computacional,"Comparar diferentes casos particulares (instâncias) de um mesmo problema, identificando as semelhanças e diferenças entre eles, e criar um algoritmo para resolver todos, fazendo uso de variáveis (parâmetros) para permitir o tratamento de todos os casos de forma genérica."
EF69CO07,6º ao 9º ano,Mundo Digital,"Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino."
EF69CO08,6º ao 9º ano,Mundo Digital,"Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados."
EF69CO09,6º ao 9º ano,Mundo Digital,"Compreender os conceitos de paralelismo, concorrência e armazenamento/processamento distribuídos."
EF69CO10,6º ao 9º ano,Mundo Digital,Entender como é a estrutura e funcionamento da internet.
EF69CO11,6º ao 9º ano,Cultura Digital,"Apresentar conduta e linguagem apropriadas ao se comunicar em ambiente digital, considerando a ética e o respeito."
EF69CO12,6º ao 9º ano,Cultura Digital,"Analisar o consumo de tecnologia na sociedade, compreendendo criticamente o caminho da produção dos recursos bem como aspectos ligados à obsolescência e a sustentabilidade."
EM13CO01,Ensino Médio,,Explorar e construir a solução de problemas por meio da reutilização de partes de soluções existentes.
EM13CO02,Ensino Médio,,"Explorar e construir a solução de problemas por meio de refinamentos, utilizando diversos níveis de abstração desde a especificação até a implementação."
EM13CO03,Ensino Médio,,"Identificar o comportamento dos algoritmos no que diz respeito ao consumo de recursos como tempo de execução, espaço de memória e energia, entre outros."
EM13CO04,Ensino Médio,,"Reconhecer o conceito de metaprogramação como uma forma de generalização na construção de programas, permitindo que algoritmos sejam entrada ou saída para outros algoritmos."
EM13CO05,Ensino Médio,,"Identificar os limites da Computação para diferenciar o que pode ou não ser automatizado, buscando uma compreensão mais ampla dos limites dos processos mentais envolvidos na resolução de problemas."
EM13CO06,Ensino Médio,,Avaliar software levando em consideração diferentes características e métricas associadas.
EM13CO07,Ensino Médio,,"Compreender as diferentes tecnologias, bem como equipamentos, protocolos e serviços envolvidos no funcionamento de redes de computadores, identificando suas possibilidades de escala e confiabilidade."
EM13CO08,Ensino Médio,,"Entender como mudanças na tecnologia afetam a segurança, incluindo novas maneiras de preservar sua privacidade e dados pessoais on-line, reportando suspeitas e buscando ajuda em situações de risco."
EM13CO09,Ensino Médio,,"Identificar tecnologias digitais, sua presença e formas de uso, nas diferentes atividades no mundo do trabalho."
EM13CO10,Ensino Médio,,"Conhecer os fundamentos da Inteligência Artificial, comparando-a com a inteligência humana, analisando suas potencialidades, riscos e limites."
EM13CO11,Ensino Médio,,"Criar e explorar modelos computacionais simples para simular e fazer previsões, identificando sua importância no desenvolvimento científico."
EM13CO12,Ensino Médio,,"Produzir, analisar, gerir e compartilhar informações a partir de dados, utilizando princípios de ciência de dados."
EM13CO13,Ensino Médio,,Analisar e utilizar as diferentes formas de representação e consulta a dados em formato digital para pesquisas científicas.
EM13CO14,Ensino Médio,,"Avaliar a confiabilidade das informações encontradas em meio digital, investigando seus modos de construção e considerando a autoria, a estrutura e o propósito da mensagem."
EM13CO15,Ensino Médio,,"Analisar a interação entre usuários e artefatos computacionais, abordando aspectos da experiência do usuário e promovendo reflexão sobre a qualidade do uso dos artefatos nas esferas do trabalho, do lazer e do estudo."
EM13CO16,Ensino Médio,,"Desenvolver projetos com robótica, utilizando artefatos físicos ou simuladores."
EM13CO17,Ensino Médio,,"Construir redes virtuais de interação e colaboração, favorecendo o desenvolvimento de projetos de forma segura, legal e ética."
EM13CO18,Ensino Médio,,"Planejar e gerenciar projetos integrados às áreas de conhecimento de forma colaborativa, solucionando problemas, usando diversos artefatos computacionais."
EM13CO19,Ensino Médio,,"Expor, argumentar e negociar propostas, produtos e serviços, utilizando diferentes mídias e ferramentas digitais."
EM13CO20,Ensino Médio,,"Criar conteúdos, disponibilizando-os em ambientes virtuais para publicação e compartilhamento, avaliando a confiabilidade e as consequências da disseminação dessas informações."
EM13CO21,Ensino Médio,,"Comunicar ideias complexas de forma clara por meio de objetos digitais como mapas conceituais, infográficos, hipertextos e outros."
EM13CO22,Ensino Médio,,"Produzir e publicar conteúdo como textos, imagens, áudios, vídeos e suas associações, bem como ferramentas para sua integração, organização e apresentação, utilizando diferentes mídias digitais."
EM13CO23,Ensino Médio,,"Analisar criticamente as experiências em comunidades virtuais e as relações advindas da interação e comunicação com outras pessoas, bem como seus impactos na sociedade."
EM13CO24,Ensino Médio,,Identificar e reconhecer como as redes sociais e artefatos computacionais em geral interferem na saúde física e mental de seus usuários.
EM13CO25,Ensino Médio,,"Dialogar em ambientes virtuais com segurança e respeito às diferenças culturais e pessoais, reconhecendo e denunciando atitudes abusivas."
EM13CO26,Ensino Médio,,"Aplicar os conceitos e pressupostos do direito digital em sua conduta e experiências com o cotidiano da cultura digital, bem como na produção e uso de artefatos computacionais."
