code,stage,axis,text
EF04CO05,4º ano,Mundo Digital,"Codificar diferentes informações para representação em computador (binária, ASCII, atributos de pixel, como RGB etc.)."
EF04CO06,4º ano,Cultura Digital,"Usar diferentes ferramentas computacionais para criação de conteúdo (textos, apresentações, vídeos etc.)."
EF04CO07,4º ano,Cultura Digital,"Demonstrar postura ética nas atividades de coleta, transferência, guarda e uso de dados."
EF04CO08,4º ano,Cultura Digital,Reconhecer a importância de verificar a confiabilidade das fontes de informações obtidas na Internet.
EF05CO01,5º ano,Pensamento Computacional,"Reconhecer objetos do mundo real e/ou digital que podem ser representados através de listas que estabelecem uma organização na qual há um número variável de itens dispostos em sequência, fazendo manipulações simples sobre estas representações."
EF05CO02,5º ano,Pensamento Computacional,"Reconhecer objetos do mundo real e digital que podem ser representados através de grafos que estabelecem uma organização com uma quantidade variável de vértices conectados por arestas, fazendo manipulações simples sobre estas representações."
EF05CO03,5º ano,Pensamento Computacional,"Realizar operações de negação, conjunção e disjunção sobre sentenças lógicas e valores 'verdadeiro' e 'falso'."
EF05CO04,5º ano,Pensamento Computacional,"Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, que incluam sequências, repetições e seleções condicionais para resolver problemas de forma independente e em colaboração."
EF05CO05,5º ano,Mundo Digital,"Identificar os componentes principais de um computador (dispositivos de entrada/saída, processadores e armazenamento)."
EF05CO06,5º ano,Mundo Digital,Reconhecer que os dados podem ser armazenados em um dispositivo local ou remoto.
EF05CO07,5º ano,Mundo Digital,Reconhecer a necessidade de um sistema operacional para a execução de programas e gerenciamento do hardware.
EF05CO08,5º ano,Cultura Digital,Acessar as informações na Internet de forma crítica para distinguir os conteúdos confiáveis de não confiáveis.
EF05CO09,5º ano,Cultura Digital,Usar informações considerando aplicações e limites dos direitos autorais em diferentes mídias digitais.
EF05CO10,5º ano,Cultura Digital,Expressar-se crítica e criativamente na compreensão das mudanças tecnológicas no mundo do trabalho e sobre a evolução da sociedade.
EF05CO011,5º ano,Cultura Digital,Identificar a adequação de diferentes tecnologias computacionais na resolução de problemas.
EF15CO01,1º ao 5º ano,Pensamento Computacional,"Identificar as principais formas de organizar e representar a informação de maneira estruturada (matrizes, registros, listas e grafos) ou não estruturada (números, palavras, valores verdade)."
